requested_name,official_name,tier,limen_category,allowed_roles,recommended_addition,google_category,license,designer,latin_ext,spanish_verified,spanish_missing,studio_enabled_initial,variable,axes,source_path
Architects Daughter,Architects Daughter,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/architectsdaughter
Gloria Hallelujah,Gloria Hallelujah,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/gloriahallelujah
Handlee,Handlee,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Joe Prince,True,True,,False,False,,ofl/handlee
La Belle Aurore,La Belle Aurore,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/labelleaurore
Playwrite Cuba,Playwrite CU,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,"TypeTogether, Veronika Burian, José Scaglione",False,True,,False,True,wght,ofl/playwritecu
Playwrite India,Playwrite IN,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,"TypeTogether, Veronika Burian, José Scaglione",False,True,,False,True,wght,ofl/playwritein
Shadows Into Light,Shadows Into Light,tematica,manuscrita-natural,protagonista|titulo|acento,False,HANDWRITING,OFL,Kimberly Geswein,False,True,,False,False,,ofl/shadowsintolight
Atomic Age,Atomic Age,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,James Grieshaber,False,True,,False,False,,ofl/atomicage
Bitcount Ink,Bitcount Ink,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Petr van Blokland,True,True,,False,True,CRSV|ELSH|ELXP|SZP1|SZP2|XPN1|XPN2|YPN1|YPN2|slnt|wght,ofl/bitcountink
Contrail One,Contrail One,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Riccardo De Franceschi,False,True,,False,False,,ofl/contrailone
Francois One,Francois One,tematica,urbana-impacto,protagonista|titulo,False,SANS_SERIF,OFL,Vernon Adams,True,True,,False,False,,ofl/francoisone
Germania One,Germania One,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,John Vargas Beltrán,True,True,,False,False,,ofl/germaniaone
Londrina Outlet,Londrina Outline,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Marcelo Magalhães,False,True,,False,False,,ofl/londrinaoutline
Londrina Solid,Londrina Solid,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Marcelo Magalhães,False,True,,False,False,,ofl/londrinasolid
Permanent Marker,Permanent Marker,tematica,urbana-impacto,protagonista|titulo,False,HANDWRITING,APACHE2,Font Diner,False,True,,False,False,,apache/permanentmarker
Protest Revolution,Protest Revolution,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Octavio Pardo,True,True,,False,False,,ofl/protestrevolution
Skranji,Skranji,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Neapolitan,True,True,,False,False,,ofl/skranji
Special Gothic,Special Gothic,tematica,urbana-impacto,protagonista|titulo,False,SANS_SERIF,OFL,Alistair McCready,True,True,,False,True,wdth|wght,ofl/specialgothic
Vina Sans,Vina Sans,tematica,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Nguyen Type,True,True,,False,False,,ofl/vinasans
